## REPORT METADATA
Start Date,2026-06-05
End Date,2026-06-11
Week Ending,"June 11th, 2026"
Date Range Label,"June 5 – June 11, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,131,42,32.1%,85,64.9%
Show Rate,71.0%,69.0%,,72.9%,
Showed,93,29,31.2%,62,66.7%
Qualified,86,28,32.6%,56,65.1%
Closed Won,20,7,35.0%,13,65.0%
Close Rate (b→c),15.3%,16.7%,,15.3%,
Revenue,"$139,940","$47,979",34.3%,"$91,961",65.7%
Avg Deal,"$6,997","$6,854",,"$7,074",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close
EXTERNAL,Low Ticket Funnel,,7,7,4% (200),5,71.4%,5,71.4%,1,14.3%,"$8,997","$8,997"
EXTERNAL,Instagram,,33,33,11% (300),22,66.7%,21,63.6%,5,15.2%,"$29,985","$5,997"
EXTERNAL,Linkedin,,2,2,20% (10),2,100.0%,2,100.0%,1,50.0%,"$8,997","$8,997"
IN-HOUSE,YouTube,,29,29,22% (132),25,86.2%,22,75.9%,4,13.8%,"$28,988","$7,247"
IN-HOUSE,Meta Ads,,2,2,5% (44),2,100.0%,2,100.0%,,0.0%,$0,
IN-HOUSE,Website,,30,30,30% (100),22,73.3%,21,70.0%,7,23.3%,"$44,979","$6,426"
IN-HOUSE,Internal Webinar,,4,4,6% (70),1,25.0%,0,0.0%,,0.0%,$0,
IN-HOUSE,Reactivation Email,,1,1,,1,100.0%,1,100.0%,1,100.0%,"$8,997","$8,997"
IN-HOUSE,Reactivation Scrapers,,19,19,,11,57.9%,10,52.6%,1,5.3%,"$8,997","$8,997"
UNCATEGORIZED,No Attribution,,4,4,,2,50.0%,2,50.0%,,0.0%,$0,
TOTAL,TOTAL,,131,,,93,71.0%,86,65.6%,20,15.3%,"$139,940","$6,997"
