## REPORT METADATA
Start Date,2026-06-26
End Date,2026-07-02
Week Ending,"July 2nd, 2026"
Date Range Label,"June 26 – July 2, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,166,19,11.4%,133,80.1%
Show Rate,43.4%,73.7%,,39.8%,
Showed,72,14,19.4%,53,73.6%
Qualified,72,13,18.1%,53,73.6%
Closed Won,15,4,26.7%,9,60.0%
Close Rate (b→c),9.0%,21.1%,,6.8%,
Revenue,"$116,205","$41,988",36.1%,"$62,223",53.5%
Avg Deal,"$7,747","$10,497",,"$6,914",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close
EXTERNAL,Instagram,,14,14,5% (300),10,71.4%,9,64.3%,3,21.4%,"$26,991","$8,997"
EXTERNAL,X,,2,2,20% (10),2,100.0%,2,100.0%,,0.0%,$0,
EXTERNAL,Linkedin,,3,3,30% (10),2,66.7%,2,66.7%,1,33.3%,"$14,997","$14,997"
IN-HOUSE,YouTube,,5,5,4% (132),2,40.0%,2,40.0%,4,80.0%,"$32,238","$8,060"
IN-HOUSE,Meta Ads,,8,8,18% (44),2,25.0%,3,37.5%,,0.0%,$0,
IN-HOUSE,VSL,,3,3,3% (110),0,0.0%,2,66.7%,,0.0%,$0,
IN-HOUSE,Website,,27,27,27% (100),16,59.3%,14,51.9%,1,3.7%,"$5,997","$5,997"
IN-HOUSE,Internal Webinar,,25,25,36% (70),10,40.0%,11,44.0%,,0.0%,$0,
IN-HOUSE,Reactivation Scrapers,,65,65,,23,35.4%,21,32.3%,3,4.6%,"$17,991","$5,997"
IN-HOUSE,Google Ads,,0,,,0,0.0%,0,0.0%,1,0.0%,"$5,997","$5,997"
UNCATEGORIZED,No Attribution,,11,11,,2,18.2%,3,27.3%,,0.0%,$0,
UNCATEGORIZED,LTF - In-House,,2,2,,2,100.0%,2,100.0%,,0.0%,$0,
UNCATEGORIZED,Anthony X,,1,1,,1,100.0%,1,100.0%,1,100.0%,"$5,997","$5,997"
UNCATEGORIZED,Sales Reactivation,,0,,,0,0.0%,0,0.0%,1,0.0%,"$5,997","$5,997"
TOTAL,TOTAL,,166,,,72,43.4%,72,43.4%,15,9.0%,"$116,205","$7,747"
