## REPORT METADATA
Start Date,2026-07-03
End Date,2026-07-09
Week Ending,"July 9th, 2026"
Date Range Label,"July 3 – July 9, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,181,29,16.0%,134,74.0%
Show Rate,38.7%,48.3%,,35.8%,
Showed,70,14,20.0%,48,68.6%
Qualified,77,14,18.2%,55,71.4%
Closed Won,16,2,12.5%,12,75.0%
Close Rate (b→c),8.8%,6.9%,,9.0%,
Revenue,"$118,655","$11,694",9.9%,"$94,067",79.3%
Avg Deal,"$7,416","$5,847",,"$7,839",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close
EXTERNAL,Instagram,,29,29,10% (300),14,48.3%,14,48.3%,1,3.4%,"$5,997","$5,997"
EXTERNAL,Linkedin,,0,,0% (10),0,0.0%,0,0.0%,1,0.0%,"$5,697","$5,697"
IN-HOUSE,YouTube,,20,20,15% (132),11,55.0%,14,70.0%,3,15.0%,"$23,991","$7,997"
IN-HOUSE,Meta Ads,,15,15,34% (44),3,20.0%,3,20.0%,,0.0%,$0,
IN-HOUSE,VSL,,1,1,1% (110),0,0.0%,0,0.0%,,0.0%,$0,
IN-HOUSE,Website,,29,29,29% (100),13,44.8%,13,44.8%,2,6.9%,"$14,994","$7,497"
IN-HOUSE,Internal Webinar,,13,13,19% (70),4,30.8%,5,38.5%,3,23.1%,"$28,994","$9,665"
IN-HOUSE,Reactivation Scrapers,,55,55,,16,29.1%,19,34.5%,4,7.3%,"$26,088","$6,522"
IN-HOUSE,Google Ads,,1,1,,1,100.0%,1,100.0%,,0.0%,$0,
UNCATEGORIZED,No Attribution,,11,11,,3,27.3%,3,27.3%,,0.0%,$0,
UNCATEGORIZED,LTF - In-House,,6,6,,4,66.7%,4,66.7%,2,33.3%,"$12,894","$6,447"
UNCATEGORIZED,Anthony X,,1,1,,1,100.0%,1,100.0%,,0.0%,$0,
TOTAL,TOTAL,,181,,,70,38.7%,77,42.5%,16,8.8%,"$118,655","$7,416"
